stage,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible
3,400,"(4, 32)",elu,0.05,33.31055414696857,1109.593017578125,23.9368953704834,377,400,cold,True
3,400,"(4, 8)",elu,0.2,64.41865176571534,4149.7626953125,56.62236404418945,233,400,cold,True
4,700,"(48, 24, 64)",elu,0.1,12.15902811583556,147.8419647216797,8.245227813720703,5049,700,warm,True
4,700,"(4, 16)",relu,0.0,22.088091566780957,487.8837890625,15.684150695800781,281,700,cold,True
4,700,"(12, 12, 64)",relu,0.0,12.394328118411096,153.61936950683594,8.283038139343262,1605,700,cold,True
4,700,"(4, 4)",silu,0.2,49.71654516638551,2471.73486328125,39.386688232421875,209,700,cold,True
4,700,"(24, 16, 64)",relu,0.05,12.645983490322134,159.9208984375,8.887641906738281,2657,700,cold,True
4,700,"(24, 12, 64)",relu,0.05,13.329395730015062,177.67279052734375,9.691398620605469,2301,700,cold,True
4,700,"(16, 8, 64)",relu,0.2,19.62638315562713,385.1949157714844,14.604537010192871,1513,450,cold,True
4,700,"(64, 32, 64)",elu,0.2,12.095257017094358,146.2952423095703,8.274083137512207,7201,700,cold,True
4,700,"(8, 4, 64)",relu,0.2,17.833168005251217,318.0218811035156,13.876750946044922,789,675,cold,True
4,700,"(64, 24)",elu,0.2,13.536376545820318,183.23348999023438,9.645339965820312,4529,700,cold,True
4,700,"(16, 4, 64)",elu,0.0,13.17819275941496,173.66476440429688,8.905986785888672,1189,700,cold,True
4,700,"(4, 24, 64)",elu,0.05,12.996811108846025,168.91709899902344,8.940583229064941,1969,700,cold,True
5,1000,"(4, 4)",silu,0.2,44.57319844403417,1986.77001953125,34.49470520019531,209,1000,warm,True
5,1000,"(64, 32, 64)",elu,0.0,11.800165750664863,139.24391174316406,7.180698871612549,7201,1000,cold,True
5,1000,"(48, 32)",relu,0.05,12.391056010000469,153.53826904296875,8.524243354797363,3809,1000,cold,True
5,1000,"(48, 4, 64)",relu,0.0,12.294767206384174,151.1613006591797,8.071452140808105,2789,700,cold,True
5,1000,"(32, 64)",relu,0.05,12.350525978409154,152.53549194335938,8.49651050567627,3649,1000,cold,True
5,1000,"(24, 12, 64)",relu,0.05,13.276113436856482,176.25518798828125,9.681814193725586,2301,725,warm,True
6,1500,"(4, 4)",silu,0.2,36.29169544404236,1317.087158203125,28.77382469177246,209,1500,warm,True
6,1500,"(4, 12)",silu,0.0,15.133379167887869,229.0191650390625,10.798635482788086,257,1500,cold,True
6,1500,"(48, 4, 64)",relu,0.0,12.206623118177228,149.00164794921875,7.549750328063965,2789,1500,warm,True
6,1500,"(16, 12, 64)",elu,0.05,11.751598492914566,138.10006713867188,7.76143741607666,1837,1325,cold,True
